id,code,img,title,album,cnt,regDate,modDate
37659315,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/115/18/346/11518346_20240621103409_500.jpg/melon/resize/120/quality/80/optimize,내가그댈,내가그댈,30593,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37884934,댄스,https://cdnimg.melon.co.kr/cm2/album/images/115/64/698/11564698_20240812100922_500.jpg/melon/resize/120/quality/80/optimize,Supersonic,Supersonic,91151,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38068560,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/116/07/747/11607747_20241015110919_500.jpg/melon/resize/120/quality/80/optimize,Igloo,LoseYourself,49573,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
38077932,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/10/170/11610170_20241008143002_500.jpg/melon/resize/120/quality/80/optimize,UP(KARINASolo),SYNK:PARALLELLINE-SpecialDigitalSingle,117696,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38104031,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg/melon/resize/120/quality/80/optimize,내게사랑이뭐냐고물어본다면,내게사랑이뭐냐고물어본다면,93239,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
38120327,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/19/809/11619809_20241018103507_500.jpg/melon/resize/120/quality/80/optimize,APT.,APT.,220044,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38123332,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/20/540/11620540_20241018183208_500.jpg/melon/resize/120/quality/80/optimize,Whiplash,Whiplash-The5thMiniAlbum,151337,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38123338,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg/melon/resize/120/quality/80/optimize,나는반딧불,나는반딧불,157499,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
38161297,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/29/208/11629208_20241101103249_500.jpg/melon/resize/120/quality/80/optimize,DRIP,DRIP,72174,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38161299,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/116/29/208/11629208_20241101103249_500.jpg/melon/resize/120/quality/80/optimize,ReallyLikeYou,DRIP,32691,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
