id,code,img,title
34701816,GN0300,https://cdnimg.melon.co.kr/cm2/album/images/108/80/569/10880569_20220225143552_500.jpg/melon/resize/120/quality/80/optimize,존재만으로
34752757,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/108/90/011/10890011_20220311131037_500.jpg/melon/resize/120/quality/80/optimize,"힙합보단사랑,사랑보단돈(Feat.베이식)"
34875621,GN0300,https://cdnimg.melon.co.kr/cm2/album/images/109/16/904/10916904_20220412101049_500.jpg/melon/resize/120/quality/80/optimize,LOVEme
34908740,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,우리들의블루스
34927767,GN0400,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg/melon/resize/120/quality/80/optimize,정이라고하자(Feat.10CM)
35008524,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,다시만날수있을까
35008530,GN0700,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,보금자리
35018129,GN0400,https://cdnimg.melon.co.kr/cm2/album/images/109/41/011/10941011_20220503153950_500.jpg/melon/resize/120/quality/80/optimize,Vancouver
35299693,GN0300,https://cdnimg.melon.co.kr/cm2/album/images/109/84/354/10984354_20220615140704_500.jpg/melon/resize/120/quality/80/optimize,Summer(Feat.BE’O(비오))
35454426,GN0200,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,HypeBoy
35945927,GN0200,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/120/quality/80/optimize,Ditto
36080040,GN0700,https://cdnimg.melon.co.kr/cm2/album/images/111/58/680/11158680_20230126215913_500.jpg/melon/resize/120/quality/80/optimize,떠날수없는당신
36241810,GN0700,https://cdnimg.melon.co.kr/cm2/album/images/111/94/812/11194812_20230303095926_500.jpg/melon/resize/120/quality/80/optimize,지나야
36263286,GN0700,https://cdnimg.melon.co.kr/cm2/album/images/111/99/993/11199993_20230309152904_500.jpg/melon/resize/120/quality/80/optimize,깜빡이를키고오세요
36356993,GN0200,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,IAM
36382580,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,헤어지자말해요
36617841,GN0200,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/120/quality/80/optimize,Seven(feat.Latto)-CleanVer.
